microcolony,batch,colony,treatment,number_of_males
1,1,1,control,4
2,1,1,control,2
3,1,2,control,3
4,1,2,control,4
5,1,3,control,0
6,1,3,control,0
7,1,5,control,4
8,1,5,control,9
9,1,6,control,14
10,1,6,control,0
21,1,1,fpf-pure,0
22,1,1,fpf-pure,0
23,1,2,fpf-pure,3
24,1,2,fpf-pure,3
25,1,3,fpf-pure,0
26,1,3,fpf-pure,4
27,1,5,fpf-pure,12
28,1,5,fpf-pure,8
29,1,6,fpf-pure,10
30,1,6,fpf-pure,2
31,2,1,control,1
32,2,1,control,0
33,2,2,control,0
34,2,2,control,4
35,2,3,control,0
36,2,3,control,0
37,2,5,control,9
38,2,5,control,6
39,2,6,control,7
40,2,6,control,13
51,2,1,fpf-pure,1
52,2,1,fpf-pure,0
53,2,2,fpf-pure,3
54,2,2,fpf-pure,7
55,2,3,fpf-pure,4
56,2,3,fpf-pure,5
57,2,5,fpf-pure,0
58,2,5,fpf-pure,6
59,2,6,fpf-pure,4
60,2,6,fpf-pure,6
61,3,1,control,0
62,3,1,control,0
63,3,2,control,0
64,3,2,control,14
65,3,3,control,0
66,3,3,control,0
67,3,5,control,4
68,3,5,control,4
69,3,6,control,4
70,3,6,control,5
81,3,1,fpf-pure,0
82,3,1,fpf-pure,0
83,3,2,fpf-pure,8
84,3,2,fpf-pure,5
85,3,3,fpf-pure,0
86,3,3,fpf-pure,16
87,3,5,fpf-pure,5
88,3,5,fpf-pure,11
89,3,6,fpf-pure,0
90,3,6,fpf-pure,6