"microcolony_number","batch","colony_derived_from","treatment","corrected_consumption","day"
"1","1","1","control",0.163,1
"2","1","1","control",0.179999999999999,1
"3","1","2","control",0.246,1
"4","1","2","control",0.633,1
"5","1","3","control",0.105,1
"6","1","3","control",0.214,1
"7","1","5","control",0.633,1
"8","1","5","control",0.444,1
"9","1","6","control",0.134,1
"10","1","6","control",0.231,1
"21","1","1","fpf-pure",0.139,1
"22","1","1","fpf-pure",0.165,1
"23","1","2","fpf-pure",0.140999999999999,1
"24","1","2","fpf-pure",0.227,1
"25","1","3","fpf-pure",0.505,1
"26","1","3","fpf-pure",0.171999999999999,1
"27","1","5","fpf-pure",0.166,1
"28","1","5","fpf-pure",0.232,1
"29","1","6","fpf-pure",0.275,1
"30","1","6","fpf-pure",0.219,1
"31","2","1","control",0,1
"32","2","1","control",0.190499999999999,1
"33","2","2","control",0.0724999999999998,1
"34","2","2","control",0,1
"35","2","3","control",0,1
"36","2","3","control",0,1
"37","2","5","control",0.3695,1
"38","2","5","control",0.0604999999999998,1
"39","2","6","control",0.0774999999999997,1
"40","2","6","control",0.0854999999999997,1
"51","2","1","fpf-pure",0,1
"52","2","1","fpf-pure",0.0474999999999999,1
"53","2","2","fpf-pure",0.0884999999999998,1
"54","2","2","fpf-pure",0.0354999999999999,1
"55","2","3","fpf-pure",0.0364999999999993,1
"56","2","3","fpf-pure",0.0425000000000004,1
"57","2","5","fpf-pure",0.0954999999999995,1
"58","2","5","fpf-pure",0.0815000000000001,1
"59","2","6","fpf-pure",0.121499999999999,1
"60","2","6","fpf-pure",0.146499999999999,1
"61","3","1","control",0.0803333333333332,1
"62","3","1","control",0.104333333333333,1
"63","3","2","control",0.359333333333333,1
"64","3","2","control",0.141333333333334,1
"65","3","3","control",0.0843333333333336,1
"66","3","3","control",0.164333333333333,1
"67","3","5","control",0.398333333333334,1
"68","3","5","control",0.218333333333334,1
"69","3","6","control",0.0103333333333334,1
"70","3","6","control",0.0853333333333335,1
"81","3","1","fpf-pure",0.112333333333334,1
"82","3","1","fpf-pure",0.0463333333333334,1
"83","3","2","fpf-pure",0.159333333333333,1
"84","3","2","fpf-pure",0.00233333333333335,1
"85","3","3","fpf-pure",0.163333333333333,1
"86","3","3","fpf-pure",0.289333333333334,1
"87","3","5","fpf-pure",0.208333333333334,1
"88","3","5","fpf-pure",0.103333333333333,1
"89","3","6","fpf-pure",0.127333333333334,1
"90","3","6","fpf-pure",0.226333333333334,1
"1","1","1","control",0.301666666666667,2
"2","1","1","control",0.325666666666667,2
"3","1","2","control",0.277666666666667,2
"4","1","2","control",0.510666666666667,2
"5","1","3","control",0.181666666666667,2
"6","1","3","control",0.257666666666667,2
"7","1","5","control",0.285666666666667,2
"8","1","5","control",0.380666666666667,2
"9","1","6","control",0.283666666666667,2
"10","1","6","control",0.369666666666667,2
"21","1","1","fpf-pure",0.256666666666666,2
"22","1","1","fpf-pure",0.242666666666667,2
"23","1","2","fpf-pure",0.301666666666667,2
"24","1","2","fpf-pure",0.370666666666667,2
"25","1","3","fpf-pure",0.344666666666666,2
"26","1","3","fpf-pure",0.281666666666667,2
"27","1","5","fpf-pure",0.233666666666667,2
"28","1","5","fpf-pure",0.341666666666667,2
"29","1","6","fpf-pure",0.439666666666667,2
"30","1","6","fpf-pure",0.403666666666667,2
"31","2","1","control",0.266,2
"32","2","1","control",0.377,2
"33","2","2","control",0.359999999999999,2
"34","2","2","control",0.246,2
"35","2","3","control",0.218,2
"36","2","3","control",0.24,2
"38","2","5","control",0.349999999999999,2
"39","2","6","control",0.317,2
"40","2","6","control",0.458,2
"51","2","1","fpf-pure",0.188999999999999,2
"52","2","1","fpf-pure",0.284000000000001,2
"53","2","2","fpf-pure",0.322,2
"54","2","2","fpf-pure",0.205,2
"55","2","3","fpf-pure",0.247,2
"56","2","3","fpf-pure",0.252,2
"57","2","5","fpf-pure",0.290999999999999,2
"58","2","5","fpf-pure",0.272000000000001,2
"59","2","6","fpf-pure",0.377000000000001,2
"60","2","6","fpf-pure",0.462999999999999,2
"61","3","1","control",0.2685,2
"62","3","1","control",0.2495,2
"63","3","2","control",0.4555,2
"64","3","2","control",0.248499999999999,2
"65","3","3","control",0.1245,2
"66","3","3","control",0.370499999999999,2
"67","3","5","control",0.4725,2
"68","3","5","control",0.2895,2
"69","3","6","control",0.1165,2
"70","3","6","control",0.1655,2
"81","3","1","fpf-pure",0.1955,2
"82","3","1","fpf-pure",0.2225,2
"83","3","2","fpf-pure",0.2365,2
"84","3","2","fpf-pure",0.113500000000001,2
"85","3","3","fpf-pure",0.2335,2
"86","3","3","fpf-pure",0.3245,2
"87","3","5","fpf-pure",0.2015,2
"88","3","5","fpf-pure",0.2155,2
"89","3","6","fpf-pure",0.1625,2
"90","3","6","fpf-pure",0.2265,2
"1","1","1","control",0.196666666666667,4
"2","1","1","control",0.276666666666667,4
"3","1","2","control",0.316666666666667,4
"4","1","2","control",0.552666666666667,4
"5","1","3","control",0.173666666666666,4
"6","1","3","control",0.320666666666667,4
"7","1","5","control",0.299666666666667,4
"8","1","5","control",0.422666666666666,4
"9","1","6","control",0.367666666666667,4
"10","1","6","control",0.374666666666667,4
"21","1","1","fpf-pure",0.267666666666667,4
"22","1","1","fpf-pure",0.281666666666666,4
"23","1","2","fpf-pure",0.305666666666666,4
"24","1","2","fpf-pure",0.395666666666666,4
"25","1","3","fpf-pure",0.360666666666667,4
"26","1","3","fpf-pure",0.174666666666667,4
"27","1","5","fpf-pure",0.245666666666667,4
"28","1","5","fpf-pure",0.417666666666666,4
"29","1","6","fpf-pure",0.460666666666666,4
"30","1","6","fpf-pure",0.497666666666667,4
"31","2","1","control",0.213000000000001,4
"32","2","1","control",0.302,4
"33","2","2","control",0.322000000000001,4
"34","2","2","control",0.280000000000001,4
"35","2","3","control",0.197,4
"36","2","3","control",0.181,4
"37","2","5","control",0.191,4
"38","2","5","control",0.284,4
"39","2","6","control",0.434000000000001,4
"40","2","6","control",0.629000000000001,4
"51","2","1","fpf-pure",0.138,4
"52","2","1","fpf-pure",0.366000000000001,4
"53","2","2","fpf-pure",0.33,4
"54","2","2","fpf-pure",0.216,4
"55","2","3","fpf-pure",0.247000000000001,4
"56","2","3","fpf-pure",0.292,4
"57","2","5","fpf-pure",0.435,4
"58","2","5","fpf-pure",0.289,4
"59","2","6","fpf-pure",0.454000000000001,4
"60","2","6","fpf-pure",0.608,4
"61","3","1","control",0.0983333333333335,4
"62","3","1","control",0,4
"63","3","2","control",0.266333333333333,4
"64","3","2","control",0,4
"65","3","3","control",0,4
"66","3","3","control",0.153333333333333,4
"67","3","5","control",0.289333333333333,4
"68","3","5","control",0.137333333333333,4
"69","3","6","control",0.0153333333333333,4
"70","3","6","control",0.00533333333333352,4
"81","3","1","fpf-pure",0.0393333333333333,4
"82","3","1","fpf-pure",0.042333333333333,4
"83","3","2","fpf-pure",0.0993333333333334,4
"84","3","2","fpf-pure",0.159333333333333,4
"85","3","3","fpf-pure",0.227333333333333,4
"86","3","3","fpf-pure",0.0673333333333329,4
"87","3","5","fpf-pure",0.140333333333333,4
"88","3","5","fpf-pure",0.0353333333333338,4
"89","3","6","fpf-pure",0.0413333333333336,4
"90","3","6","fpf-pure",0.148333333333333,4
"1","1","1","control",0.164666666666667,6
"2","1","1","control",0.270666666666667,6
"3","1","2","control",0.270666666666667,6
"4","1","2","control",0.253666666666667,6
"5","1","3","control",0.169666666666667,6
"6","1","3","control",0.152666666666667,6
"7","1","5","control",0.128666666666667,6
"8","1","5","control",0.227666666666666,6
"9","1","6","control",0.134666666666667,6
"10","1","6","control",0.222666666666667,6
"21","1","1","fpf-pure",0.161666666666667,6
"22","1","1","fpf-pure",0.240666666666666,6
"23","1","2","fpf-pure",0.165666666666667,6
"24","1","2","fpf-pure",0.403666666666667,6
"25","1","3","fpf-pure",0.182666666666667,6
"26","1","3","fpf-pure",0.145666666666667,6
"27","1","5","fpf-pure",0.170666666666667,6
"28","1","5","fpf-pure",0.198666666666667,6
"29","1","6","fpf-pure",0.229666666666667,6
"30","1","6","fpf-pure",0.294666666666667,6
"31","2","1","control",0.288,6
"32","2","1","control",0.405,6
"33","2","2","control",0.34,6
"34","2","2","control",0.260999999999999,6
"35","2","3","control",0.315999999999999,6
"36","2","3","control",0.345999999999999,6
"37","2","5","control",0.331,6
"38","2","5","control",0.317,6
"39","2","6","control",0.446,6
"40","2","6","control",0.434,6
"51","2","1","fpf-pure",0.389,6
"52","2","1","fpf-pure",0.371,6
"53","2","2","fpf-pure",0.434,6
"54","2","2","fpf-pure",0.288999999999999,6
"55","2","3","fpf-pure",0.51,6
"56","2","3","fpf-pure",0.421,6
"57","2","5","fpf-pure",0.454999999999999,6
"58","2","5","fpf-pure",0.336,6
"59","2","6","fpf-pure",0.508999999999999,6
"60","2","6","fpf-pure",0.684,6
"61","3","1","control",0.285666666666667,6
"62","3","1","control",0.356666666666667,6
"63","3","2","control",0.158666666666667,6
"64","3","2","control",0.399666666666667,6
"65","3","3","control",0.195666666666667,6
"66","3","3","control",0.319666666666667,6
"67","3","5","control",0.382666666666667,6
"68","3","5","control",0.310666666666667,6
"69","3","6","control",0.179666666666667,6
"70","3","6","control",0.155666666666667,6
"81","3","1","fpf-pure",0.336666666666667,6
"82","3","1","fpf-pure",0.294666666666666,6
"83","3","2","fpf-pure",0.331666666666667,6
"84","3","2","fpf-pure",0.275666666666666,6
"85","3","3","fpf-pure",0.338666666666667,6
"86","3","3","fpf-pure",0.236666666666667,6
"87","3","5","fpf-pure",0.323666666666667,6
"88","3","5","fpf-pure",0.284666666666667,6
"89","3","6","fpf-pure",0.317666666666666,6
"90","3","6","fpf-pure",0.332666666666667,6
"1","1","1","control",0.173,8
"2","1","1","control",0.326,8
"3","1","2","control",0.326,8
"4","1","2","control",0.295,8
"5","1","3","control",0.207,8
"6","1","3","control",0.191,8
"7","1","5","control",0.295,8
"8","1","5","control",0.256,8
"9","1","6","control",0.0759999999999997,8
"10","1","6","control",0.282,8
"21","1","1","fpf-pure",0.316,8
"22","1","1","fpf-pure",0.395,8
"23","1","2","fpf-pure",0.184,8
"24","1","2","fpf-pure",0.426,8
"25","1","3","fpf-pure",0.281,8
"26","1","3","fpf-pure",0.137,8
"27","1","5","fpf-pure",0.284,8
"28","1","5","fpf-pure",0.179,8
"29","1","6","fpf-pure",0.326,8
"30","1","6","fpf-pure",0.297,8
"31","2","1","control",0.133999999999999,8
"32","2","1","control",0.16,8
"33","2","2","control",0.0289999999999995,8
"34","2","2","control",0.126,8
"35","2","3","control",0.0419999999999998,8
"36","2","3","control",0,8
"37","2","5","control",0.373,8
"38","2","5","control",0.15,8
"39","2","6","control",0.0710000000000002,8
"40","2","6","control",0.142,8
"51","2","1","fpf-pure",0.0809999999999995,8
"52","2","1","fpf-pure",0.241999999999999,8
"53","2","2","fpf-pure",0.175999999999999,8
"54","2","2","fpf-pure",0.194,8
"55","2","3","fpf-pure",0.166,8
"56","2","3","fpf-pure",0.0499999999999994,8
"57","2","5","fpf-pure",0.238,8
"58","2","5","fpf-pure",0.109999999999999,8
"59","2","6","fpf-pure",0.201000000000001,8
"61","3","1","control",0.396666666666667,8
"62","3","1","control",0.260666666666666,8
"64","3","2","control",0.456666666666666,8
"65","3","3","control",0.242666666666667,8
"66","3","3","control",0.273666666666666,8
"67","3","5","control",0.266666666666667,8
"68","3","5","control",0.264666666666667,8
"69","3","6","control",0.175666666666667,8
"70","3","6","control",0.230666666666667,8
"81","3","1","fpf-pure",0.268666666666666,8
"82","3","1","fpf-pure",0.224666666666666,8
"83","3","2","fpf-pure",0.389666666666666,8
"84","3","2","fpf-pure",0.212666666666666,8
"85","3","3","fpf-pure",0.347666666666667,8
"86","3","3","fpf-pure",0.407666666666666,8
"87","3","5","fpf-pure",0.272666666666667,8
"88","3","5","fpf-pure",0.252666666666666,8
"89","3","6","fpf-pure",0.215666666666667,8
"90","3","6","fpf-pure",0.269666666666667,8
"1","1","1","control",0.112333333333333,10
"2","1","1","control",0.207333333333333,10
"3","1","2","control",0.0143333333333335,10
"4","1","2","control",0.122333333333334,10
"5","1","3","control",0,10
"6","1","3","control",0.071333333333333,10
"7","1","5","control",0.430333333333333,10
"8","1","5","control",0.0643333333333338,10
"9","1","6","control",0.305333333333333,10
"10","1","6","control",0.127333333333334,10
"21","1","1","fpf-pure",0.0583333333333336,10
"22","1","1","fpf-pure",0.127333333333334,10
"23","1","2","fpf-pure",0.0583333333333331,10
"24","1","2","fpf-pure",0.284333333333334,10
"25","1","3","fpf-pure",0.0823333333333331,10
"26","1","3","fpf-pure",0.152333333333333,10
"27","1","5","fpf-pure",0.444333333333334,10
"28","1","5","fpf-pure",0.219333333333333,10
"29","1","6","fpf-pure",0.369333333333333,10
"30","1","6","fpf-pure",0.108333333333333,10
"31","2","1","control",0.0240000000000002,10
"32","2","1","control",0.110000000000001,10
"33","2","2","control",0.0980000000000001,10
"34","2","2","control",0.125,10
"35","2","3","control",0.0909999999999995,10
"36","2","3","control",0,10
"37","2","5","control",0.504,10
"38","2","5","control",0.416,10
"39","2","6","control",0.153000000000001,10
"40","2","6","control",0.167,10
"51","2","1","fpf-pure",0.14,10
"52","2","1","fpf-pure",0.0919999999999999,10
"53","2","2","fpf-pure",0.234,10
"54","2","2","fpf-pure",0.354,10
"55","2","3","fpf-pure",0.136,10
"56","2","3","fpf-pure",0.252,10
"57","2","5","fpf-pure",0.172,10
"58","2","5","fpf-pure",0.192,10
"59","2","6","fpf-pure",0.165,10
"60","2","6","fpf-pure",0,10
"61","3","1","control",0.2105,10
"62","3","1","control",0.0714999999999999,10
"64","3","2","control",0.472500000000001,10
"65","3","3","control",0.1175,10
"66","3","3","control",0.2275,10
"67","3","5","control",0.2575,10
"68","3","5","control",0.1815,10
"69","3","6","control",0.0584999999999996,10
"70","3","6","control",0.1865,10
"81","3","1","fpf-pure",0.1905,10
"82","3","1","fpf-pure",0.1985,10
"83","3","2","fpf-pure",0.7005,10
"84","3","2","fpf-pure",0.1925,10
"85","3","3","fpf-pure",0.2475,10
"86","3","3","fpf-pure",0.5235,10
"87","3","5","fpf-pure",0.2685,10
"88","3","5","fpf-pure",0.2835,10
"89","3","6","fpf-pure",0.0755000000000003,10
"90","3","6","fpf-pure",0.1485,10
